"X..ve.word.count.","X..ve.word.count..1","X.overall.polarity.","X.times.change.in.pol.","X.largest...cont.","X.largest...cont..1","X.capital.letters.","X.punctuation.","emoji_count","laughter_exp_count"
0,0,0,0,0,0,1,0,9,0
0,0,0,0,0,0,3,0,8,0
0,0,0,0,0,0,21,1,27,0
0,0,0,0,0,0,4,0,18,0
0,0,0,0,0,0,10,0,18,0
0,0,0,0,0,0,2,0,18,0
1,0,2,0,1,0,1,1,9,0
0,0,0,0,0,0,0,0,9,0
0,0,0,0,0,0,1,2,16,0
0,0,0,0,0,0,1,0,17,0
1,0,2,0,1,0,17,0,25,0
1,0,1,0,1,0,10,0,34,0
0,0,0,0,0,0,16,0,25,0
0,0,0,0,0,0,10,0,23,0
1,0,1,0,1,0,3,0,7,0
0,0,0,0,0,0,15,0,24,0
0,0,0,0,0,0,6,0,31,0
0,1,-3,0,0,1,12,0,23,0
0,1,-3,0,0,1,11,0,26,0
0,0,0,0,0,0,11,0,36,0
0,0,0,0,0,0,15,0,23,0
0,2,-2,0,0,2,2,0,9,0
2,0,3,0,2,0,2,0,22,0
0,0,0,0,0,0,6,0,14,0
0,0,0,0,0,0,4,0,20,0
0,0,0,0,0,0,13,0,30,0
0,0,0,0,0,0,7,0,22,0
0,0,0,0,0,0,7,0,30,0
0,0,0,0,0,0,1,0,16,0
0,0,0,0,0,0,7,0,16,0
0,0,0,0,0,0,2,0,9,0
0,0,0,0,0,0,10,0,19,0
0,0,0,0,0,0,3,2,6,0
1,0,1,0,1,0,7,0,27,0
1,0,2,0,1,0,17,0,21,0
0,0,0,0,0,0,6,0,28,0
2,0,3,0,2,0,2,1,11,0
1,0,1,0,1,0,3,0,16,0
0,0,0,0,0,0,11,0,19,0
0,1,-1,0,0,1,5,0,13,0
4,0,7,0,4,0,6,0,13,0
0,0,0,0,0,0,7,0,26,0
0,0,0,0,0,0,3,0,13,0
0,0,0,0,0,0,6,0,14,0
1,0,1,0,1,0,2,2,10,0
0,0,0,0,0,0,4,0,20,0
0,0,0,0,0,0,2,1,11,0
0,0,0,0,0,0,8,0,15,0
0,1,-1,0,0,1,8,0,27,0
0,0,0,0,0,0,3,0,3,0
1,0,1,0,1,0,9,0,27,0
0,0,0,0,0,0,2,0,10,0
0,0,0,0,0,0,1,0,26,0
0,0,0,0,0,0,5,0,13,0
0,2,-2,0,0,2,14,0,13,0
0,0,0,0,0,0,3,0,21,0
0,0,0,0,0,0,3,0,22,0
0,0,0,0,0,0,6,0,22,0
2,0,2,0,2,0,12,0,23,0
1,1,0,1,1,1,10,0,18,0
0,0,0,0,0,0,8,1,21,0
0,0,0,0,0,0,4,0,13,0
2,0,4,0,2,0,4,1,14,0
3,0,5,0,3,0,3,0,15,0
1,0,1,0,1,0,2,1,19,0
0,0,0,0,0,0,2,0,26,0
0,0,0,0,0,0,1,0,24,0
1,0,1,0,1,0,9,0,28,0
0,0,0,0,0,0,1,0,24,0
0,0,0,0,0,0,13,0,30,0
3,0,3,0,3,0,6,0,15,0
0,0,0,0,0,0,12,0,19,0
0,0,0,0,0,0,1,1,21,0
1,0,2,0,1,0,3,0,11,0
0,0,0,0,0,0,7,0,17,0
0,0,0,0,0,0,6,0,16,0
0,0,0,0,0,0,7,2,21,0
0,0,0,0,0,0,3,0,15,0
1,0,1,0,1,0,3,0,13,0
0,0,0,0,0,0,11,0,26,0
1,1,-1,1,1,1,1,0,17,0
0,0,0,0,0,0,0,0,21,0
0,1,-2,0,0,1,7,0,18,0
0,0,0,0,0,0,0,0,9,0
0,0,0,0,0,0,4,0,28,0
0,0,0,0,0,0,7,0,23,0
1,2,-3,1,1,2,26,0,28,0
0,0,0,0,0,0,7,0,30,0
0,0,0,0,0,0,22,1,29,0
0,0,0,0,0,0,8,0,16,0
0,0,0,0,0,0,22,0,31,0
0,0,0,0,0,0,4,0,16,0
0,0,0,0,0,0,7,0,11,0
0,0,0,0,0,0,13,0,29,0
0,0,0,0,0,0,1,1,16,0
1,1,-1,1,1,1,1,0,13,0
0,0,0,0,0,0,3,0,11,0
0,1,-3,0,0,1,1,0,4,0
0,0,0,0,0,0,5,0,24,0
0,0,0,0,0,0,3,0,17,0
2,0,3,0,2,0,5,0,17,0
0,0,0,0,0,0,0,0,26,0
0,0,0,0,0,0,1,0,15,0
0,0,0,0,0,0,4,0,7,0
1,0,1,0,1,0,8,0,25,0
0,0,0,0,0,0,2,0,18,0
0,0,0,0,0,0,4,1,5,0
1,0,1,0,1,0,2,0,15,0
0,2,-2,0,0,2,12,0,7,0
0,2,-2,0,0,2,7,0,18,0
0,0,0,0,0,0,3,0,13,0
0,0,0,0,0,0,3,0,25,0
0,0,0,0,0,0,9,2,18,0
0,0,0,0,0,0,1,0,19,0
0,2,-2,0,0,2,6,0,22,0
2,0,2,0,2,0,2,0,16,0
1,0,2,0,1,0,4,0,12,0
1,0,1,0,1,0,7,0,19,0
1,1,0,1,1,1,1,0,10,0
0,0,0,0,0,0,1,0,10,0
2,0,4,0,2,0,9,0,18,0
1,0,2,0,1,0,3,0,8,0
0,2,-3,0,0,2,3,0,15,0
0,0,0,0,0,0,20,0,26,0
0,0,0,0,0,0,6,0,22,0
0,0,0,0,0,0,10,0,18,0
0,0,0,0,0,0,5,0,15,0
0,0,0,0,0,0,3,0,12,0
0,0,0,0,0,0,3,1,13,0
0,0,0,0,0,0,7,0,19,0
0,0,0,0,0,0,1,0,15,0
2,0,3,0,2,0,7,0,18,0
0,1,-1,0,0,1,2,1,11,0
0,0,0,0,0,0,3,0,8,0
1,0,1,0,1,0,5,0,14,0
0,0,0,0,0,0,7,0,25,0
0,1,-1,0,0,1,1,0,7,0
0,1,-1,0,0,1,0,0,8,0
0,1,-1,0,0,1,6,0,8,0
0,0,0,0,0,0,3,0,26,0
2,0,3,0,2,0,9,1,12,0
1,0,2,0,1,0,2,0,12,0
0,0,0,0,0,0,4,0,21,0
0,0,0,0,0,0,6,0,18,0
0,0,0,0,0,0,1,0,24,0
0,0,0,0,0,0,3,0,23,0
0,0,0,0,0,0,3,0,24,0
0,0,0,0,0,0,1,0,25,0
0,1,-1,0,0,1,10,1,22,0
0,0,0,0,0,0,12,0,27,0
1,0,2,0,1,0,6,0,24,0
0,0,0,0,0,0,6,0,26,0
0,0,0,0,0,0,6,0,19,0
0,0,0,0,0,0,2,0,12,0
0,2,-2,0,0,2,13,3,8,0
0,0,0,0,0,0,6,0,14,0
0,0,0,0,0,0,3,0,21,0
0,0,0,0,0,0,10,0,24,0
3,0,3,0,3,0,1,2,25,0
0,0,0,0,0,0,5,0,20,0
0,0,0,0,0,0,4,0,21,0
0,0,0,0,0,0,4,0,14,0
1,0,2,0,1,0,5,0,21,0
0,0,0,0,0,0,2,0,13,0
1,0,2,0,1,0,2,1,15,0
0,0,0,0,0,0,12,0,25,0
2,0,2,0,2,0,4,0,12,0
1,0,3,0,1,0,3,0,20,0
1,0,1,0,1,0,5,0,15,0
1,0,1,0,1,0,3,0,12,0
2,0,2,0,2,0,6,0,18,0
0,0,0,0,0,0,12,0,21,0
0,0,0,0,0,0,11,1,19,0
1,0,2,0,1,0,1,0,1,0
0,0,0,0,0,0,2,1,11,0
0,0,0,0,0,0,11,0,21,0
0,2,-2,0,0,2,4,0,22,0
0,0,0,0,0,0,3,0,29,0
0,0,0,0,0,0,10,1,24,0
0,1,-1,0,0,1,0,0,5,0
1,1,0,1,1,1,6,0,11,0
1,0,2,0,1,0,1,0,9,0
0,0,0,0,0,0,2,0,23,0
0,1,-1,0,0,1,7,0,23,0
1,4,-8,1,1,4,5,2,17,0
0,1,-1,0,0,1,2,0,11,0
1,0,1,0,1,0,13,0,21,0
1,0,2,0,1,0,6,0,14,0
1,0,1,0,1,0,3,0,20,0
0,0,0,0,0,0,5,0,20,0
0,0,0,0,0,0,1,0,22,0
0,0,0,0,0,0,10,0,21,0
0,0,0,0,0,0,4,0,14,0
2,0,3,0,2,0,2,0,7,0
0,0,0,0,0,0,0,0,21,0
1,0,1,0,1,0,3,0,12,0
0,0,0,0,0,0,1,0,23,0
0,0,0,0,0,0,1,0,19,0
0,0,0,0,0,0,2,2,14,0
0,0,0,0,0,0,15,0,25,0
0,0,0,0,0,0,7,1,32,0
1,0,2,0,1,0,3,0,10,0
0,0,0,0,0,0,1,0,19,0
0,1,-1,0,0,1,10,0,16,0
0,0,0,0,0,0,6,0,24,0
0,0,0,0,0,0,10,0,19,0
0,0,0,0,0,0,4,0,12,0
0,0,0,0,0,0,3,0,16,0
0,2,-2,0,0,2,6,0,20,0
1,0,2,0,1,0,4,0,8,0
0,1,-1,0,0,1,1,1,20,0
1,0,3,0,1,0,0,0,24,0
0,0,0,0,0,0,7,0,15,0
0,0,0,0,0,0,3,0,18,0
0,0,0,0,0,0,1,0,19,0
0,1,-1,0,0,1,3,0,11,0
0,0,0,0,0,0,1,0,21,0
0,0,0,0,0,0,9,0,20,0
0,0,0,0,0,0,2,0,31,0
0,0,0,0,0,0,5,0,24,0
0,0,0,0,0,0,7,1,17,0
0,0,0,0,0,0,1,0,8,0
0,0,0,0,0,0,4,0,25,0
1,1,0,1,1,1,6,0,22,0
0,0,0,0,0,0,13,0,23,0
0,0,0,0,0,0,8,0,27,0
0,4,-5,0,0,4,1,0,16,0
0,1,-1,0,0,1,10,0,20,0
1,0,1,0,1,0,2,0,11,0
0,2,-4,0,0,2,7,0,16,0
1,1,1,1,1,1,11,0,15,0
1,0,2,0,1,0,4,0,14,0
0,1,-3,0,0,1,1,1,9,0
0,0,0,0,0,0,3,0,16,0
1,0,2,0,1,0,5,3,14,0
0,1,-1,0,0,1,2,0,11,0
0,0,0,0,0,0,8,0,21,0
0,0,0,0,0,0,2,0,8,0
0,0,0,0,0,0,24,0,53,0
1,0,1,0,1,0,6,0,15,0
0,0,0,0,0,0,6,2,22,0
0,0,0,0,0,0,4,0,20,0
0,1,-1,0,0,1,7,1,17,0
1,0,2,0,1,0,10,0,18,0
0,0,0,0,0,0,14,2,22,0
0,3,-4,0,0,3,16,0,23,0
0,0,0,0,0,0,19,1,29,0
1,0,2,0,1,0,1,0,16,0
0,0,0,0,0,0,26,2,38,0
0,0,0,0,0,0,3,0,11,0
0,0,0,0,0,0,14,0,23,0
0,0,0,0,0,0,3,0,10,0
1,0,1,0,1,0,7,0,15,0
0,0,0,0,0,0,15,0,27,0
1,0,1,0,1,0,6,0,19,0
0,0,0,0,0,0,1,0,9,0
0,1,-1,0,0,1,12,0,20,0
1,0,1,0,1,0,12,0,24,0
0,0,0,0,0,0,7,0,17,0
0,0,0,0,0,0,5,0,16,0
0,2,-2,0,0,2,9,0,4,0
0,0,0,0,0,0,9,0,17,0
1,0,2,0,1,0,10,1,18,0
0,0,0,0,0,0,0,0,8,0
0,0,0,0,0,0,7,6,19,0
0,0,0,0,0,0,16,0,24,0
0,0,0,0,0,0,13,2,24,0
0,0,0,0,0,0,5,0,32,0
0,0,0,0,0,0,1,0,11,0
0,0,0,0,0,0,8,0,16,0
0,0,0,0,0,0,10,0,19,0
0,0,0,0,0,0,8,0,15,0
0,0,0,0,0,0,12,2,25,0
1,1,0,1,1,1,10,0,22,0
1,0,1,0,1,0,4,0,26,0
0,0,0,0,0,0,5,0,23,0
1,0,1,0,1,0,5,0,17,0
0,0,0,0,0,0,8,0,16,0
1,0,1,0,1,0,6,1,22,0
